@relation matches
@attribute homeodds  real
@attribute drawodds  real
@attribute awayodds  real
@attribute avggoalshome  real
@attribute avggoalsaway  real
@attribute avgsothome  real
@attribute avgsotaway  real
@attribute class {0,1}

@data
'2.8','3.5','2.63',2.820,2.656,8.541,8.328,1
'2.1','3.5','3.8',2.836,2.508,8.623,8.820,1
'3.4','3.4','2.3',3.688,2.792,10.375,9.250,1
'2.75','3.4','2.7',2.823,2.741,9.484,7.726,0
'2.45','3.5','3.0',2.500,3.000,8.065,9.339,1
'2.3','3.4','3.4',2.419,2.935,8.161,9.145,0
'2.2','3.5','3.5',2.484,2.952,8.016,9.113,0
'4.0','3.5','2.05',2.708,2.833,9.021,8.979,1
'3.75','3.5','2.1',2.729,2.875,8.104,9.479,1
'2.3','3.5','3.3',2.667,2.667,8.167,8.854,1
'3.5','3.4','2.25',2.823,2.726,9.468,8.935,1
'2.88','3.5','2.55',2.871,2.933,9.387,2.226,1
'2.1','3.5','3.8',2.691,2.778,8.782,10.000,1
'2.1','3.5','3.8',2.719,2.694,8.754,7.772,0
'2.2','3.5','3.5',2.603,2.857,9.016,8.619,1
'2.6','3.4','2.88',2.984,2.635,9.095,8.413,1
'2.63','3.4','2.88',2.762,2.762,9.460,8.635,1
'3.1','3.5','2.4',2.750,2.859,9.406,8.641,1
'2.88','3.5','2.55',2.944,2.406,9.056,29.111,1
'3.1','3.5','2.4',2.631,2.923,9.000,9.138,1
'2.8','3.4','2.7',2.577,2.827,8.000,8.558,1
'2.5','3.4','3.0',2.727,2.742,9.515,8.727,1
'2.25','3.5','3.4',2.424,2.924,8.182,8.879,1
'2.9','3.4','2.6',2.818,2.848,9.000,8.682,0
'2.1','3.5','3.75',2.970,2.348,9.348,8.121,1
'2.45','3.5','3.0',2.646,2.947,9.738,2.631,1
'2.75','3.5','2.65',2.815,2.769,9.046,9.446,1
'3.6','3.5','2.15',2.859,2.738,10.813,8.766,1
'2.6','3.4','2.9',2.831,3.077,9.369,8.985,1
'2.55','3.5','2.88',2.600,2.891,8.385,9.077,1
'2.5','3.4','3.0',2.736,2.736,8.245,8.925,1
'2.45','3.5','3.0',2.556,2.796,7.926,8.870,1
'2.4','3.5','3.1',2.712,2.627,8.847,10.288,1
'2.3','3.5','3.3',2.910,2.525,8.881,7.836,1
'2.25','3.5','3.4',3.305,2.403,9.898,9.102,1
'2.7','3.4','2.75',2.806,2.970,8.761,9.328,1
'2.6','3.5','2.8',2.803,2.818,9.227,9.015,1
'2.8','3.3','2.75',2.773,2.591,9.409,8.394,1
'2.8','3.5','2.6',3.556,2.889,10.093,9.407,1
'2.75','3.4','2.7',2.500,2.897,9.147,9.456,1
'2.4','3.5','3.1',2.779,2.779,8.912,9.176,1
'2.3','3.5','3.3',2.379,3.045,8.561,9.076,1
'2.9','3.4','2.6',2.625,2.768,8.696,8.804,1
'3.5','3.5','2.2',2.518,2.911,8.625,9.429,1
'3.0','3.4','2.5',2.899,2.420,9.478,8.232,0
'2.5','3.4','3.0',2.738,2.913,8.984,10.492,1
'2.25','3.5','3.4',2.797,2.507,9.188,9.174,1
'3.5','3.5','2.2',2.797,2.623,8.754,7.913,1
'2.9','3.4','2.6',2.579,2.912,7.842,9.456,1
'2.8','3.5','2.63',2.800,2.957,9.200,9.314,1
'2.63','3.4','2.88',2.529,2.929,8.214,8.786,1
'2.2','3.5','3.5',2.435,3.043,8.884,3.072,1
'2.63','3.5','2.8',2.826,2.914,9.101,9.754,1
'2.15','3.5','3.6',2.857,2.586,9.486,9.014,1
'3.25','3.5','2.3',2.971,2.743,8.857,8.586,1
'2.63','3.4','2.88',3.238,2.761,9.762,9.825,1
'2.6','3.4','2.9',2.662,2.817,7.958,9.493,1
'3.1','3.4','2.45',2.930,2.972,9.634,8.831,1
'2.3','3.5','3.25',2.841,2.843,10.739,9.261,1
'2.6','3.5','2.8',2.803,2.729,9.408,9.254,1
'2.55','3.5','2.9',3.234,2.806,9.750,9.688,1
'2.75','3.4','2.75',2.606,2.831,9.662,9.042,1
'3.1','3.4','2.45',2.625,2.764,8.528,8.722,0
'2.15','3.5','3.6',2.800,3.433,9.167,9.217,1
'2.9','3.3','2.63',2.517,2.800,8.017,9.133,1
'3.5','3.5','2.2',2.800,2.890,9.077,9.800,1
'2.6','3.4','2.9',2.718,2.781,9.113,9.704,1
'2.6','3.4','2.9',2.945,3.120,8.753,3.137,1
'3.4','3.4','2.3',2.705,3.459,8.590,9.967,0
'3.25','3.5','2.3',2.803,2.918,9.115,9.443,1
'2.3','3.5','3.25',3.258,2.730,9.773,10.545,1
'2.8','3.5','2.63',2.568,2.784,8.473,9.122,1
'3.1','3.4','2.45',2.784,2.527,8.851,8.203,1
'2.7','3.5','2.7',3.120,2.548,9.720,24.200,1
'3.1','3.4','2.45',2.438,2.865,8.808,9.507,1
'2.0','3.5','4.2',2.720,2.587,9.453,8.480,1
'1.95','3.5','4.33',2.787,2.773,9.373,8.893,1
'2.45','3.4','3.1',2.613,3.239,9.133,8.773,1
'2.2','3.5','3.5',2.987,2.907,9.160,8.707,1
'2.5','3.4','3.0',2.627,3.040,9.147,9.440,1
'2.6','3.4','2.9',2.800,2.547,9.120,8.840,1
